field_id,timestamp,date,machine_id,operation,lat,lon,speed,status,area_covered
field_01,2025-05-01T00:01:00Z,2025-05-01,sprayer_01,seeding,43.595021,78.243342,6.4,starting,0.0
field_01,2025-05-01T00:39:00Z,2025-05-01,sprayer_01,seeding,43.595159,78.244072,7.6,working,1.2
field_01,2025-05-01T01:06:00Z,2025-05-01,sprayer_01,seeding,43.595173,78.244366,9.8,working,2.4
field_01,2025-05-01T01:35:00Z,2025-05-01,sprayer_01,seeding,43.595312,78.245462,8.7,idle,3.6
field_01,2025-05-01T02:03:00Z,2025-05-01,sprayer_01,seeding,43.595409,78.245719,8.3,working,4.8
field_01,2025-05-01T02:36:00Z,2025-05-01,sprayer_01,seeding,43.595654,78.246804,8.5,working,6.0
field_01,2025-05-01T03:09:00Z,2025-05-01,sprayer_01,seeding,43.595644,78.247308,8.2,working,7.2
field_01,2025-05-01T03:34:00Z,2025-05-01,sprayer_01,seeding,43.595838,78.247886,7.2,working,8.4
field_01,2025-05-01T04:07:00Z,2025-05-01,sprayer_01,seeding,43.595882,78.248569,8.4,working,9.6
field_01,2025-05-01T04:31:00Z,2025-05-01,sprayer_01,seeding,43.596225,78.249397,8.2,working,10.8
field_01,2025-05-01T05:03:00Z,2025-05-01,sprayer_01,seeding,43.59606,78.249774,7.1,working,12.0
field_01,2025-05-01T05:37:00Z,2025-05-01,sprayer_01,seeding,43.596105,78.25069,7.1,working,13.2
field_01,2025-05-01T06:07:00Z,2025-05-01,sprayer_01,seeding,43.596307,78.251689,7.4,working,14.4
field_01,2025-05-01T06:32:00Z,2025-05-01,sprayer_01,seeding,43.59656,78.252069,7.9,working,15.6
field_01,2025-05-01T07:06:00Z,2025-05-01,sprayer_01,seeding,43.596478,78.252716,7.5,working,16.8
field_01,2025-05-01T07:39:00Z,2025-05-01,sprayer_01,seeding,43.596667,78.253497,6.5,working,18.0
field_01,2025-05-01T08:00:00Z,2025-05-01,sprayer_01,seeding,43.596452,78.254125,8.9,working,19.2
field_01,2025-05-01T08:40:00Z,2025-05-01,sprayer_01,seeding,43.5968,78.254895,7.2,working,20.4
